Contract_One year,Contract_Two year,Dependents_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,InternetService_Fiber optic,InternetService_No,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,PhoneService_Yes,SeniorCitizen,StreamingMovies_No internet service,StreamingMovies_Yes,StreamingTV_No internet service,StreamingTV_Yes,TechSupport_No internet service,TechSupport_Yes,TotalCharges,gender_Male,tenure,churn,customerID
0,0,0,0,0,0,0,-1.1616939352451685,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.9941940877241977,0,-1.2802480369298874,0,7590-VHVEG
1,0,0,0,1,0,0,-0.2608779199297493,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.17373981825040724,1,0.06430268518835193,0,5575-GNVDE
0,0,0,0,0,0,0,-0.3639232943754246,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.9596491092068434,1,-1.2395040756535771,1,3668-QPYBK
1,0,0,0,1,0,0,-0.747850415293989,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.19524770717404732,1,0.512486259227765,0,7795-CFOCW
0,0,0,0,0,1,0,0.19617817640187488,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.94045745447498,0,-1.2395040756535771,1,9237-HQITU
0,0,0,0,1,1,0,1.1584890119510036,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,-0.6453692184426381,0,-0.9950403079957154,1,9305-CDSKC
0,0,1,0,0,1,0,0.8078023344020117,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-0.14731268909089865,1,-0.42462485012737144,0,1452-KIOVK
0,0,0,0,0,0,0,-1.1650179795821258,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8741690378436584,0,-0.9135523854430948,0,6713-OKOMC
0,0,0,0,1,1,0,1.3296772953043026,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0.33651554451135574,0,-0.18016108246950976,1,7892-POOKP
1,0,1,0,0,0,0,-0.28747027462540753,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5314762853391823,1,1.2051336009250397,0,6388-TABGU
0,0,1,0,0,0,0,-0.4935610235167579,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,-0.7481879571842651,1,-0.791320501614164,0,9763-GRSKD
0,1,0,1,0,0,1,-1.5240147679735105,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,-0.8631834699626608,1,-0.6690886177852331,0,7469-LKBCI
1,0,0,0,1,1,0,1.181757322309704,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1.4990665744239262,1,1.0421577558197987,0,8091-TTVAX
0,0,0,0,1,1,0,1.2931128075977727,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1.2145888969272465,1,0.6754621043330061,1,0280-XJGEX
0,0,0,0,1,1,0,1.3529456056630036,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0.17768805707524432,1,-0.3023929662984406,0,5129-JLPIS
0,1,1,0,1,1,0,1.6105590417771916,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,2.475877681529266,0,1.4903413298592119,0,3655-SNQYZ
